URL;Aanmaken;Account;Afhaalbalie;Afhalen;Afleveren;Bestel;Bestellen;Bestellingen;Betalen;Bevestiging;Bezorging;Categorieën;Filiaal;Filialen;Inloggen;Klanten;Kom langs;Koop;Kopen;Maten;Online warenhuis;Ontvangen;Openingstijden;Ophalen;Order;Product;Producten;Servers;Showroom;Thuiswinkel;Verkooppunt;Versturen;Verzenden;Verzending;Verzendkosten;Vestiging;Vestigingen;Wachtwoord;Winkel;Winkelmand;Winkels;Winkelwagen;Zaterdag;Zoeken;WordCount;PageCount
http://www.thuisbezorgd.nl;0;152;0;1;0;1213;1148;0;74;0;10;0;0;0;0;7;0;10;0;0;0;1;0;0;27;0;0;4;0;0;0;0;1;0;0;0;0;0;7;1;0;0;0;1;55193;82
http://www.transavia.com;0;27;0;0;0;0;0;0;2;0;0;0;0;0;6;11;0;2;9;0;0;0;0;2;413;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;17;63283;18
http://www.trendyspeelgoed.nl;2;102;0;13;0;384;57;43;127;3;0;0;0;0;4;503;1;342;8;5;0;1;4;0;129;1458;113;0;0;0;0;25;37;134;77;3;0;10;854;285;8;0;2;19;121324;119
http://www.trendyspeelgoed.nl;2;102;0;13;0;384;57;43;127;3;0;0;0;0;4;503;1;342;8;5;0;1;4;0;129;1458;113;0;0;0;0;25;37;134;77;3;0;10;854;285;8;0;2;19;121324;119
http://www.vakantieveilingen.nl;227;47;0;0;0;9;5;0;66;191;1;0;0;0;231;497;0;47;9;0;0;7;19;0;247;1084;810;0;0;0;0;0;0;1;0;191;183;3;5;0;3;0;12;8;218593;224
http://www.vanallesenmeer.nl;0;233;0;0;0;1355;336;113;115;2;1;0;0;0;1;116;0;23;25;0;0;2;0;8;487;1688;428;112;0;0;0;0;114;233;455;2;0;7;562;0;1;225;0;6;162455;112
http://www.versio.nl;61;59;0;0;0;129;87;0;119;0;0;1;0;0;6;360;0;44;6;0;0;2;2;1;1;137;130;41;0;0;0;4;1;0;0;0;0;5;63;59;0;2;0;64;43857;59
http://www.vliegtickets.nl;1;19;0;0;7;11;0;2;35;13;2;0;0;0;130;278;0;138;10;1;0;14;11;262;193;247;33;3;0;123;0;0;1;1;0;15;0;1;156;0;6;1;7;81;99573;63
http://www.vrijuit.nl;452;1130;0;0;0;2;0;0;41;2;0;0;0;0;678;930;0;8;268;2;0;1;8;229;302;236;231;0;0;0;0;231;0;0;0;2;0;1142;67;0;56;0;50;949;862372;241
http://www.weekendjeweg.nl;0;55;0;0;0;7;5;0;1;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;4;0;0;0;0;0;3;1;0;0;0;0;0;0;56;0;0;0;0;3;19775;56
http://www.wehkamp.nl;54;162;0;70;2;216;18;60;86;5;19;0;0;0;108;182;0;22;55;233;35;9;1;11;95;753;8;17;0;54;0;0;0;2;117;5;0;34;97;10;1;0;13;2;59924;54
http://www.zalando.nl;0;989;0;0;0;977;4;240;2;3;1;0;0;0;970;711;0;477;253;705;0;2;0;2;873;1390;210;0;0;0;0;481;240;259;1;3;0;970;268;3;4;250;0;1;383115;240
